X Field,X轴字段
FG Qty from Transferred Raw Materials,成品数量(基于已发原材料)
Document Naming Rule,单据编号规则,
Document Naming Rule Condition,单据编号规则条件,
Following item {0} is not marked as {1} item. You can enable them as {1} item from its Item master,下列物料{0}未勾选{1}。请在物料主数据中勾选,
Following items {0} are not marked as {1} item. You can enable them as {1} item from its Item master,未在物料主数据中为以下物料{0}勾选{1},
Total Billing Hours,总开票工时
Qty to Build,待生产数量
"# Req'd Items",物料个数
"# In Stock",有库存物料个数
Buildable Qty,可生产数量
"Build All?",物料齐套?
Monthly Completed Work Orders,每月已完成生产工单,
Process Loss Report,制程损耗报表
Loss Qty,损耗数量
Loss Value,损耗金额
FG Value,成品金额
Raw Material Value,原材料金额
Network Printer Settings,网络打印机设置
Select Network Printer,选择网络打印机
"Context variable: doc and frappe.session.user, function get_roles can be used","可使用doc(当前单据)，frappe.session.user(当前用户)变量,获取用户角色函数get_roles"
Condition for Default,设为默认格式的条件
Smaller number higher priority,数字越小，优先级越高
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is ""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""",工作流所有状态与角色，单据状态0 表示"已保存"，1表示"已提交"，2表示"已取消"
Party Specific Item,客户/供应商可交易物料
Restrict Items Based On,过滤字段
Based On Value,字段值
Allowed Items,可交易物料
Domain (optional),服务器域名(可选)
Use different login,使用另一个账号
Incoming (POP/IMAP) Settings,收邮件设置
Document Linking,单据关联
Outgoing (SMTP) Settings,发邮件设置
Auto Reply,自动回复
Service (optional),服务 (可选)
Use HTML,使用HTML
Always use this email address as sender address,使用此邮箱作为发件人邮箱
Always use this name as sender name,使用此用户名作为发件人
Enabling auto reply on an incoming email account will send automated replies to all the synchronized emails. Do you wish to continue?,启用自动回复将会对所有同步过来的邮件生效，确认继续？
Allow Continuous Material Consumption,启用工单耗用
Allow material consumptions without immediately manufacturing finished goods against a Work Order,允许单独记录多次工单耗用后再进行工单入库
Allow Excess Material Transfer,允许超需求量工单发料
Allow transferring raw materials even after the Required Quantity is fulfilled,允许超工单需求数量发原材料
Show Remarks,显示备注信息
"Update BOM cost automatically via scheduler, based on the latest Valuation Rate/Price List Rate/Last Purchase Rate of raw materials",通过后台程序基于原材料最新成本价/标价/采购价自动更新BOM成本,
Ignore Empty Stock,不包括无库存物料
Track Material Request,管理物料需求
Create first Purchase Order,创建第一个采购订单
"# Track Material Request


Also known as Purchase Request or an Indent, is a document identifying a requirement of a set of items (products or services) for various purposes like procurement, transfer, issue, or manufacturing. Once the Material Request is validated, a purchase manager can take the next actions for purchasing items like requesting RFQ from a supplier or directly placing an order with an identified Supplier.

","# 管理物料需求

物料需求又称采购需求，是因采购、调拨、生产等目的产生的对原材料的需求，物料需求被审批后，可以下推询价、报价或直接生成采购订单"
"# Create first Purchase Order

Purchase Order is at the heart of your buying transactions. In ERPNext, Purchase Order can can be created against a Purchase Material Request (indent) and Supplier Quotation as well.  Purchase Orders is also linked to Purchase Receipt and Purchase Invoices, allowing you to keep a birds-eye view on your purchase deals.

","采购订单是采购业务的核心，采购订单可由物料需求、供应商报价或销售订单下推，从采购订单可下推(关联)采购入库、采购发票、付款"
"# Buying Settings


Buying module's features are highly configurable as per your business needs. Buying Settings is the place where you can set your preferences for:

- Supplier naming and default values
- Billing and shipping preference in buying transactions


","# 采购设置

采购模块有很多可配置选项，比如

- 供应商编号规则及默认值
- 采购发票及采购入库设置"
'If source warehouse selected then system will create the material request with type Material Transfer from Source to Target warehouse. If not selected then will create the material request with type Purchase for the target warehouse.',如果指定转出仓且有相应数量，系统会创建自转出仓至收料仓调拨类型的物料需求，否则将针对收料仓创建采购类型的物料需求
Work Order / Subcontract PO,生产工单 / 委外采购订单
Create Job Card based on Batch Size,基于批量创建(拆分)加工单
Production Plan Summary,生产计划汇总报表
Work Order Tree,生产工单树
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.",如勾选，用户每次登录时都弹框通知。否则只弹框通知一次。,
Go to Notification Settings List,转到通知设置列表
Sequence Id,并行顺序号,
Sequence ID,并行顺序号,
Cost Per Unit,单位成本
Base Cost Per Unit,基础单位成本
Partly Paid,部分付款
Partly Paid and Discounted,已贴现部分付款
Client Code,客户端javasript脚本,
Query / Script,SQL查询 / Python脚本,
"Row {0}: Expense Head changed to {1} as no Purchase Receipt is created against Item {2}.",第{0}行：因物料 {2} 未关联采购入库单，费用科目变更为了 {1}
Total Amount Due,总未付金额
Update Counter,更新流水号当前值
New Counter,新值
Warning: Updating counter may lead to document name conflicts if not done properly,警告：若更新不当会导致新单据与现有单据重复，不能保存
Update Counter Value for Prefix: {0},为前缀 {0} 更新流水号当前值
Copy error to clipboard, 将出错日志复制到剪贴板
Create a Sales Item,创建销售物料
You do not have permissions to {} items in a {}.,您无权{} {}。,
Module Profile Name,模块集合名称
Supplier Quotation Comparison,供应商比价,
Include Expired,包括已过期,
Configure Columns,列设置
Column Width,列宽
Reset to default,恢复默认设置
Book Cost Center Wise Profit/Loss,损益按成本中心记账
Cost of Poor Quality Report,制程不良成本报表
Auto Write Off Amount,自动销账金额
Loan Write Off will be automatically created on loan closure request if pending amount is below this limit,贷款关闭时如果剩余金额低于自动销账金额则自动注销
Disbursement References,放款参考信息
Upload Bank Statement,上传银行对账单
Closing Balance as per Bank Statement,银行对账单余额
Closing Balance as per ERP,ERP系统余额
22210102 - 销项税额 @ 13.0 Rate,税率
22210102 - 销项税额 @ 13.0 Amount,税额
22210101 - 进项税额 @ 13.0 Rate,税率
22210101 - 进项税额 @ 13.0 Amount,税额
Automatically Fetch Payment Terms from Order,优先从从订单带出付款条款
Deposit,存款
Withdrawal,取款
Reconcile the Bank Transaction,核销银行交易流水
No Matching Vouchers Found,无匹配凭证
Show Only Exact Amount,仅显示金额匹配的凭证
Select Vouchers to Match,选择待匹配凭证
Transaction Details,交易详情
Match Against Voucher,匹配凭证
Create Voucher,新建凭证
Update Bank Transaction,更新银行交易流水
Grant Commission,付佣金
Update Existing Price List Rate,更新物料价格主数据
Hide Descendants,隐藏下层节点
"Hide descendant records of <b>For Value</b>.",隐藏下层节点<b>值</b>
IQC,来料检验
IPQC,制程检验
OQC,出货检验
From Payment Date,开始付款日期
To Payment Date,截止付款日期
Invoice Limit,发票限额
Payment Limit,付款限额
Minimum Payment Amount,最小付款金额
Maximum Payment Amount,最大付款金额
This filter will be applied to Journal Entry.,过滤条件仅限日记账凭证
Document Link,单据关联,
Document Links,单据关联,
Document Actions,单据操作,
Amount Eligible for Commission,佣金基数
Quotation Number,报价单号
Date format could not be determined from the values in this column. Defaulting to yyyy-mm-dd.,无法确认此字段日期格式，将自动转成标准的年-月-日格式
Pallets,托盘
Value of Goods,货值
Goods,货物
Add Template,新建模板
Length (cm),长(公分)
Width (cm),宽(公分)
Height (cm),高(公分)
Weight (kg),重量(公斤)
Vihicle Maker,车辆品牌
It can take upto few hours for accurate stock values to be visible after merging items.,合并后的物料库存数量更新可能需几个小时
Pick Batch No,选批号
Selected Qty,已选数量
Enable Provisional Accounting For Non Stock Items,非库存物料采购入库启用暂估费用记账
Default Provisional Account,默认暂估费用科目
Open Sales Orders,未结销售订单
"Once the Work Order is Closed. It can't be resumed.",不能恢复已关闭工单
Not allowed via controller permission check,自定义代码权限检查has_permission不通过
Action / Route,操作 / 网址路径,
Is Rate Adjustment Entry (Debit Note),追加收款(借记单)
Issue a debit note with 0 qty against an existing Sales Invoice,基于已有销售发票开一张0数量发票
E Commerce Settings,电商设置
Filters and Categories,过滤和类别
Enable Field Filters (Categories),启用字段过滤
"The field filters will also work as categories in the <b>Shop by Category</b> page.",字段过滤在<b>产品类别购物页面</b>也适用
Enable Variant Selection,启用多规格筛选
"Follow these steps to create a landing page for your store",请遵照此文档说明创建购物首页
Enable Wishlist,启用心愿清单
Enable Reviews and Ratings,启用评论与评分
Enable Recommendations,启用推荐
Item Search Settings,物料搜索设置
Show Categories in Search Autocomplete,搜索框自动推荐信息中含产品类别
Guest Display Settings,访客显示设置
Redirect on Action,操作后跳转
Add-ons,附加功能
Show Price in Quotation,在报价单中显示价格
Send To All Assignees,发送给所有待办执行人,
Receiver By Document Field,收件人(单据字段),
Receiver By Role,收件人(用户角色),
"Cannot overbill for Item {0} in row {1} more than {2}. To allow over-billing, please set allowance in Accounts Settings",第{1}行物料{0}发票金额不能超过{2}。要允许超订单金额开票，请在“会计设置”中设置 发票超金额控制(%),
You cannot change the rate if BOM is mentioned against any Item.,有物料清单的物料价格不可手工设置
Inter Company Purchase Invoice,关联公司采购发票
Unreconciled Entries,未核销单据
"If you need to reconcile particular transactions against each other, then please select accordingly. If not, all the transactions will be allocated in FIFO order.",可以手工勾选匹配，否则按时间先后自动匹配
Allocated Entries,已核销单据
'This is a Template BOM and will be used to make the work order for {0} of the item {1}',此模板物料清单可被基于模板物料的多规格物料直接引(使)用
Cancel All Documents,取消所有单据,
Cancelling documents,取消单据,
% Picked,已拣货%
Partially ordered,已部分下单,
Qty To Produce,待生产数量
Selected Qty,已选数量
End Transit,在途入库
First Day of the Week,一周开始日
Overproduction for Sales and Work Order,超销售和工单数量控制,
Quality Inspection(s),质检单
Select Items for Quality Inspection,选择待检验物料
Sales Order Packed Item,销售订单套件明细
Debit in Account Currency,借方(科目币别)
Credit in Account Currency,贷方(科目币别)
Picked Qty (in Stock UOM),拣货数量(库存单位)
"{0} {1} has accounting entries in currency {2} for company {3}. Please select a receivable or payable account with currency {2}.",为{0} {1}指定了非公司{3}本币{2}的科目。请选择币种为{2}的应收/付科目。,
"Apply Tax Withholding Amount ",含代扣税款
Reversal Of,被冲销凭证
Provisional Expense Account,暂估费用科目
{0} viewed,{0} 查看了
Time Taken to Deliver,交货耗时
Reference number of the invoice from the previous system,旧系统发票号
Do Not Explode,不展开
New Version,新版本
Reserved for manufacturing,工单发料预留,
Reserved for sale,销售出库预留,
Reserved for sub contracting,委外发料预留,
Internal Sale or Delivery Reference missing.,须填写关联公司销售或出货参考编号
Please create purchase from internal sale or delivery document itself,请自关联方内部销售或出货单创建采购订单
Internal Sales Reference Missing,关联方内部销售编号必填
BOM Level,BOM层级
Subcontract Order Summary,委外采购订单执行追踪表
Bulk Transaction,批量操作
Telephony,电话集成
Payment Gateways,支付网关
E-commerce,电商
Workspace Manager,工作区管理员
Please clear the,请清空
Payment Schedule Table,付款计划明细表
selected Payment Terms Template,付款条款模板字段
"If this checkbox is checked, paid amount will be splitted and allocated as per the amounts in payment schedule against each payment term",如勾选，则金额根据付款计划明细中的付款条款进行拆分,
Translate Link Fields,翻译链接字段
Make Attachments Public by Default,上传文件默认设为公开
Enabling this will allow creation of multi-currency invoices against single party account in company currency,如果勾选，允许客户或供应商第一张发票货币为非主数据中的结算货币(默认为本币)
"Can't change the valuation method, as there are transactions against some items which do not have its own valuation method",有些物料未在物料主数据中维护成本计算方法且已关联物料凭证与会计凭证，考虑资料一致性此处成本计算方法不能被修改
"Party Account {0} currency ({1}) and document currency ({2}) should be same",往来单位主数据中定义的结算币种需与业务交易币种相同
Show GL Balance,显示总账余额
GL Balance,总账余额
Total Amount Due,总未付金额
API Key cannot be regenerated,无法重新生成API密钥
Prospect,意向客户
Toggle Theme,切换主题
Log out,退出系统
Manage Subscriptions,管理订阅
Frappe Support,Frappe支持
Create Workspace,新建工作区
Your Shortcuts,快速访问
Sales Pipeline Analytics,销售渠道分析
Opportunity Summary by Sales Stage,商机汇总(按销售阶段)
Cost Center Allocation,成本中心分摊比例模板
Cost Center Allocation Percentages,成本中心分摊百分比
Asset Capitalization,资产资本化
In Location,在册
Disposed,已处置
--Select a group--,选择分组方式
Stock Movement,物料移动
Payment Terms Status for Sales Order,销售订单分期付款追踪表
Packages,包
Package,包
Package Import,包导入
System Logs,系统日志
Scheduled Jobs Logs,后台任务日志
Error Logs,错误日志
Communication Logs,沟通日志
Cost Centers for Budgeting and Analysis,成本中心预算与分析
Updating Opening Balances,更新期初
Tax Detail,税费明细
Work Order Consumed Materials,工单已耗用物料
Settings & Configurations,设置
Preview of generated names,自动生成的单据编号预览
Generate 3 preview of names generate by any valid series.,生成3个单据自动编号预览
Add this Series,添加单据编号模板
Try a Naming Series,单据编号模板预览
Get a preview of generated names with a series.,预览编号模板生成的编号
"## Products and Services

Depending on the nature of your business, you might be selling products or services to your clients or even both. 
ERPNext is optimized for itemized management of your sales and purchase.

The **Item Master**  is where you can add all your sales items. If you are in services, you can create an Item for each service that you offer. If you run a manufacturing business, the same master is used for keeping a record of raw materials, sub-assemblies etc.

Completing the Item Master is very essential for the successful implementation of ERPNext. We have a brief video introducing the item master for you, you can watch it in the next step.","## 产品与服务

你可能出售产品或服务，或者同时出售产品和服务给客户，产品和服务在本系统中都被定义为物料主数据,被销售、采购、库存等业务流程使用

正确完整地维护物料主数据对于系统实施到关重要。"
"## Who is a Customer?

A customer, who is sometimes known as a client, buyer, or purchaser is the one who receives goods, services, products, or ideas, from a seller for a monetary consideration.

Every customer needs to be assigned a unique id. Customer name itself can be the id or you can set a naming series for ids to be generated in Selling Settings.

Just like the supplier, let's quickly create a customer.","## 谁是客户

客户是购买产品、服务的组织

每个客户须有(唯一识别)编号，可在销售(模块)设置中选择客户编号生成方式：客户名或自动流水码"
DocTypes can not be modified, please use {0} instead,单据类型不能修改，请通过{0}修改
This site is running in developer mode. Any change made here will be updated in code.,本站点已设置开发者模式参数，单据修改会同步到代码中
"If you just want to customize for your site, use {0} instead.",如果只是定制，请通过{0}修改
The value {0} is already assigned to an existing Item {1}.,现有物料{1}已使用此属性值{0}。,
"To still proceed with editing this Attribute Value, enable {0} in Item Variant Settings.",如需修改属性值，请在库存模块的“物料多规格设置”中勾选 允许重命名属性值。,
Show Inclusive Tax in Print,打印含税价中的税明细,
Unlink Advance Payment on Cancellation of Order,取消订单时移除关联的预付款,
Restore Asset,恢复资产
Repair Asset,修理资产
Scrap Asset,报废资产
Adjust Asset Value,调整资产价值
Create Depreciation Entry,创建折旧分录
you must select Capital Work in Progress Account in accounts table,请在明细表设置在建工程科目,
You can also set default CWIP account in Company {},您还可以在公司{}主数据中设置默认在建工程科目,
Enable Capital Work in Progress Accounting,资产入库先记账在建工程科目,
Get Supplier Group Details,获取供应商组信息
Setup failed,始始化失败
Could not start up: Error in setup,初始化过程有错误
Module Profile,模块集合
Warehouse Settings,仓库信息
Available Qty at Target Warehouse,仓库可用数量
Finished Good Item Qty,成品物料数量
Finished Good Item Quantity,成品物料数量
Finished Good Item,成品物料编号
Create Grouped Asset,创建组资产(多个数量一个资产号)
Asset Quantity,资产数量
Shipping Address Template,出货地址模板
Has Item Scanned,已扫条码
Voucher Name,凭证编号
Tax Withheld Vouchers,代缴税款凭证
Only If Creator,限单据创建者
Page Number,页码
Top Left,顶部左侧
Bottom Left,底部左侧
Margin Top,顶边距
Margin Bottom,底边距
Margin Left,左边距
Margin Right,右边距
Internal Customer,内部客户
Contact & Address,地址与联系人
Receivable Accounts,往来单位科目
Is System Generated,由系统生成
Module (for export),模块(用于导出)
Reset Password Link Expiry Duration,重置密码间隔
Session Expiry (idle timeout),会话超时(无操作超时)
Document Share Key Expiry (in Days),单据共享超时(天)
Number of days after which the document Web View link shared on email will be expired,透过邮件共享的登录链接多久后过期
Disable Username/Password Login,禁止用户密码登录
Make sure to configure a Social Login Key before disabling to prevent lockout,请确保先配置好社交登录码以防登出后被锁
Encrypt Backups,备份数据加密
Allow Older Web View Links (Insecure),允许通过登录链接(不安全)
System Updates,系统更新
Disable System Update Notification,禁止系统更新通知
Disable Change Log Notification,禁止系统更新日志通知
On Payment Authorization,付款授权
Workstation Type,工站类型
Subcontracting Order,委外订单
Subcontracting Receipt,委外入库
Recalculate Rate,重新计算成本价
Subcontracting Purchase Order,委外采购
Distribute Additional Costs Based On,额外费用分摊方式
"Distribute Additional Costs Based On ",额外费用分摊方式
Raw Material Cost Per Qty,每单位原材料成本
Service Cost Per Qty,每单位加工费
Additional Cost Per Qty,每单位其它成本
Warehouse Details,仓库信息
Service Items,委外加工费明细
Subcontracting Order Item,委外订单明细
Subcontracting Order Service Item,委外订单加工费明细
Subcontracting Order Supplied Item,委外订单原材料明细
Return Against Subcontracting Receipt,源委外入库
Subcontracting Receipt Item,委外入库明细
Subcontracting Receipt Supplied Item,委外入库原材料明细
Consolidate Sub Assembly Items,合并子装配件
Sales Order Reference,销售订单号
Item Reference,物料编号
qty,数量
Constraints,约束条件
Visibility,是否显示
List / Search Settings,列表 / 搜索设置
Virtual,虚拟
Is Calendar and Gantt,有日历与甘特图视图
Enables Calendar and Gantt views.,从列表界面可切换到日历和甘特图
Show Title in Link Fields,在链接字段中以标题字段值显示
Force Re-route to Default View,强制显示默认视图(不返回上次视图)
Naming Rule,编号规则
Set by user,用户输入
Autoincrement,自增
By fieldname,字段
By "Naming Series" field,单据编号模板
Expression,公式
Expression (old style),公式(旧方法)
Random,随机
By script,脚本代码
Default View,默认视图
Website Search Field,网站搜索字段
Display Depends On (JS),显示先决条件(JS)
Collapsible Depends On (JS),可折叠先决条件(JS)
Mandatory Depends On (JS),必填先决条件(JS)
Read Only Depends On (JS),只读先决条件(JS)
Max Height,最大高度
DocType State,单据类型状态
Buying & Selling Settings,采购与销售设置
Price List Defaults,价格表默认值
Stock Validations,库存防呆校验
Serial & Batch Item,序列号与批号
Serial & Batch Item Settings,序列号与批号设置
Stock Planning,库存计划
Stock Closing,库存关账
Supplier and Price Defaults,供应商与价格默认值
Subcontracting Settings,委外设置
Enable Discount Accounting for Selling,启用折扣科目单独记账
Sales Update Frequency in Company and Project,按公司与项目销售统计数据更新频率
Invoice and Billing,发票与账单
Invoicing Features,发票功能
Invoice Cancellation,发票取消
Enabling ensure each Sales Invoice has a unique value in Supplier Invoice No. field,强制校验供应商发票号并确保唯一
Report Setting,报表设置
Enable Custom Cash Flow Format,启用自定义现金流量格式
"Allow multi-currency invoices against single party account ",允许同一往来单位发票多币种
Credit Limit Settings,信用额度设置
Role allowed to bypass Credit Limit,不受信用额度限制的角色
Accounts Closing,会计关账
Auto Creation of Contact,自动创建联系人
Allow Lead Duplication based on Emails,允许基于相同邮箱创建多个线索
Close Replied Opportunity After Days,自动关闭已回复商机天数
Auto close Opportunity Replied after the no. of days mentioned above,在上述天数之后自动关闭已回复商机
Carry Forward Communication and Comments,自动将邮件评论等沟通记录转至下游单据
Min Qty (As Per Stock UOM),最小数量(库存单位)
Max Qty (As Per Stock UOM),最大数量(库存单位)
Threshold for Suggestion (In Percentage),,建议阀值(%)
Additional Info,附加信息
Fixed Time,固定时间
Operation time does not depend on quantity to produce,加工(操作)时间不随着生产数量变化
Supplier Invoice,供应商发票
Make Item Group visible in website,在网站上物料组显示
Include Descendants,包括下层节点
Include Website Items belonging to child Item Groups,网站上也显示下层物料组物料
Frequency of Depreciation (Months),折旧频率（几个月折一次）,
Actual Time (in Hours via Time Sheet),实际工时(工时表小时数)
Competitor Detail,竞争对手明细
Competitors,竞争对手
Competitor,竞争对手
Bundle Items,套件明细
POS Opening Entry,POS接班记录, 
Apply TDS,计算代扣税
Compare Versions,版本比较
From version,先前版本
To version,当前版本
Select two versions to view the diff.,选择两个版本比较差异
Document Naming Settings,单据编号模板设置
Setup Series for transactions,设置单据编号模板
Set Naming Series options on your transactions.,设置单据编号模板选项
Update Series Counter,更新模板当前流水号
" Change the starting / current sequence number of an existing series. 
 Warning: Incorrectly updating counters can prevent documents from getting created. ","变更编号模板起始/当前流水号
警告：设置不当将导致单据无法创建"
Series Updated for {},单据类型 {} 的编号模板已更新
Next Execution,下次执行
Tab Break,页签
Autocomplete,自动完成
Quick Lists,快速访问列表
Quick List Filter,筛选条件
Workspace Quick List,工作区快速访问列表
Parent Page,父页面
Is Hidden,隐藏
Exchange Gain Or Loss,汇兑损益
Warehouse Wise Stock Balance,仓库级库存余额
FG Warehouse,成品仓
Raw Materials Warehouse,原材料仓
Get Raw Materials for Purchase,获取待采购原材料
Get Raw Materials for Transfer,获取待直接调拨原材料
Named Place,已命名地点
Split From,拆分前资产号
Depreciation Entry Posting Status,折旧凭证记账状态
Phone Ext.,分机号
Annual Revenue,年收入
No of Employees,员工数
No. of Employees,员工数
Qualification Status,资质状态
Qualified By,认证机构
Qualified on,认证日期
Qualified,已认证
Unqualified,未认证
Opportunity Owner,商机负责人
Opportunity Value,商机价值
Prospect Owner,意向客户负责人
Deal Owner,成交负责人
Contact Mobile,联系人手机
All Activities,全部活动
Open Tasks,未关闭任务
No open task,无未关闭任务
New Task,新任务
Open Events,未关闭事件
No open event,无未关闭事件
No Notes,无备注
New Note,新备注
Prospect Lead,意向客户线索
Prospect Opportunity,意向客户商机
Probability,成交机率
Closing,成交日期
Stage,阶段
Opportunity Amount (Company Currency),商机金额(公司币种)
Materials & Operations,物料与工序
Operations & Materials,物料与工序
Configuration,配置
Cost Configuration,成本配置
Scrap & Process Loss,报废与制程损耗
Process Loss,制程损耗
% Process Loss,制程损耗%
"Returned Qty ",退回数量
Select the Warehouse,请先选择仓库
Other Info,更多信息
Is Cash or Non Trade Discount,是现金或非贸易折扣
Internal Transfers,关联方交易
Enabling ensure each Purchase Invoice has a unique value in Supplier Invoice No. field,确保采购发票中供应商发票号不重复
POS Setting,POS设置
Max auto email report per user,每用户最自动邮件发送报表数
Email Retry Limit,邮件重试次数限制
Example: Setting this to 24:00 will log out a user if they are not active for 24:00 hours.,"如设置为24:00,则会24:00后自动将用户登出"
Avg Rate(Balance Stock),平均成本(库存变动)
Subcontract Order,委外订单
Download Materials Request Plan Section,导出原材料计划建议
Download Materials Request Plan,导出原材料需求与库存
Select Warehouses to get Stock for Materials Planning,选择仓库
Transfer From Warehouses,调拨源仓库
Request For Quotation,询价
Set Project Status,设置项目状态
Inventory Settings,库存设置
BOM Info,物料清单信息
Row #{1}: Warehouse is mandatory for stock Item {0},请为第 {1} 行的物料{0}输入仓库信息
Terms & Conditions,条款和条件
Connections,关联
Expires in a week or less,一周内到期
Expires today / Already Expired,当天到期/已过期
Valid till,有交期至
The total column width cannot be more than 10.,总列宽不能超过10
Return of Components,委外原材料退回
Partial Material Transferred,部分发料
Subcontract Return,委外成品退货
"Sets 'Accepted Warehouse' in each row of the Items table.",为所有明细行设置(收货)仓库
"Sets 'Rejected Warehouse' in each row of the Items table.",为所有明细行设置拒收仓
Naming Series and Price Defaults,单据编号及价格默认值
Is Old Subcontracting Flow,启用旧版委外流程
Disable Last Purchase Rate,不更新最新采购价
Inter Transfer Reference,关联交易信息
quotation_item,报价明细
Default Receivable Accounts,默认应收账款科目
Action if Same Rate is Not Maintained Throughout Sales Cycle,销售流程未使用相同价格时的控制措施
SCO Supplied Item,委外订单原材明细
Scan Mode,扫码模式
Disables auto-fetching of existing quantity,不自动获取现有库存数量
Prompt Qty,提示数量
Qty Change,数量变动
Qty After Transaction,变更后数量
Balance Stock Value,变更后库存金额
Change in Stock Value,库存金额变动
"FIFO Stock Queue (qty, rate)",先进先出队列(数量,单位成本)
Limit timeslot for Stock Reposting,限定物料成本追溯调整执行时机
"Limits don't apply on",限制不适用日期
Use Item based reposting,按物料进行成本追溯调整
Scheduling,排程
Ignore Default Payment Terms Template,忽略默认付款条款模板
Per Received,收货百分比
Paid From Account Type,付款方账户类型
Paid To Account Type,收款方账户类型
Paid Amount After Tax (Company Currency),税后付款金额(本币)
Received Amount After Tax,税后收款金额
Received Amount After Tax (Company Currency),税后收款金额(本币)
material_request_item,物料需求明细
Logs to Clear,待清除日志
Completed By Role,审批人角色
Completed By User,审批人用户
Permitted Roles,被授权角色
Workflow Action Permitted Role,工作流操作被授权角色
Mention if a non-standard receivable account,使用公司主数据中定义的默认应收账款科目时，这里不用维护
Return Components,原材料退回
Material Returned from WIP,原材料已退回
Transit Entry,调拨单
FG based Operating Cost,启用计件成本
FG Based Operating Cost Section,启用计件成本
Operating Cost Per BOM Quantity,每个成品工费成本
Job Requisition,职位申请
No of. Positions,职位数量
Expected Compensation,期望薪酬
Expected By,预期完成时间
Timelines,时间表
Interviews,面试
Interview Type,面试方式
Interview Round,面试轮次
Interview,面试
Resume link,简历链接
Scheduled On,预定于
Interview Feedback,面试反馈
Average Rating,平均评分
Interview Summary,面试总结
Skill Assessment,技能评估
Employee Exits,员工离职
Full and Final Settlement,全面终止协议结算
Full and Final Statement,离职结算
Assets Allocated,已分派资产
Journey,职业生涯
Grievance,意见
Exit Interview,离职面谈
Questionnaire Email Sent,发送问卷邮件
Accounting Reports,会计报表
Shift & Attendance,班次与考勤
Exit Interview Pending,待办离职面谈
Exit Questionnaire Pending,待办离职调查问卷
FnF Pending,未完成的结算
Reports To,直接上级
Interview Status,面谈状态
Final Decision,最终决定
Interviews (This Week),本周面试
New Hires (This Month),本月新入职员工
Exits (This Month),本月离职员工
Trainings (This Week),本周培训
Salary Payout,薪资支付
Income Tax Computation,所得税计算
Consider Tax Exemption Declaration,考虑税务豁免声明
Benefits,福利
Exemption,免税
Tax Setup,所得税设置
Tax & Benefits,税务和福利
Exemption Proofs,免税证明
Add items in the Item Locations table,请在拣货明细表中添加物料,
"Delivery Note(s) created for the Pick List",已为拣货单创建销售出库
Maintain Asset,保养资产
Split Asset,分割资产
Split Qty,分割数量
Target Asset,结转的资产号
Target Item Code,结转的物料号
Consumed Stock Items,耗用的库存物料
Consumed Asset Items,耗用的资产
Service Expenses,服务类费用
Capitalization,存货转资产
Decapitalization,资产转存货
Non Conformance,不合格报告单
Zero Balance,余额为0
"This Account has '0' balance in either Base Currency or Account Currency",本科目本币或外币余额为0
Inventory Dimension,库存辅助核算
Dimension Details,辅助核算详情
Apply to All Inventory Documents,适用所有库存单据(添加辅助核算字段)
Mandatory Section,必填信息
Apply to Document,适用单据
Type of Transaction,库存变动类型(收/发)
Conditional Rule,条件规则
GL Entry Processing Status,会计凭证生成状态
GL Entry Processing Status,生成会计凭证状态
Use Company default Cost Center for Round off,使用公司默认小数精度尾差成本中心
Only Include Allocated Payments,仅含已分配(核销)付款
Changes,找零
Payment Terms from orders will be fetched into the invoices as is,从销售订单复制付款条款
Journals,日记账凭证
Merge Similar Account Heads,合并科目
Rows with Same Account heads will be merged on Ledger,相同科目会被自动合并
Book Tax Loss on Early Payment Discount,将税损失记账到提前付款折扣科目
Split Early Payment Discount Loss into Income and Tax Loss,将提前付款折扣分解为收入与税损失
Payment Reconciliations,收付款核销
Auto Reconcile Payments,启用自动核销收付款
Learn about Common Party,学习更多关于多重身份往来单位知识
Subcontract Receipt,委外入库
FG Item,成品物料
Account Currency (From),源科目币种
Account Balance (From),源科目余额
Account Balance (To),目标科目余额
Account Currency (To),目标科目币种
Source Exchange Rate,源汇率
Target Exchange Rate,目标汇率
Repost Payment Ledger,收付款台账重过账
Selected Vouchers,已选凭证
Add Manually,手动添加
Ignore Voucher Type filter and Select Vouchers Manually,忽略凭证类型，手动选择凭证
Payment Ledger Entry,收付款台账
DeLinked,已取消关联
Against Voucher No,关联凭证号
Amount in Account Currency,金额(科目币种)
No of Months (Expense),月数(费用)
Avg Rate (Balance Stock),平均成本价(库存余额)
Reserved for Production Plan,生产计划预留数量
"If checked, picked qty won't automatically be fulfilled on submit of pick list.",如勾选，拣货单提交时不自动更新拣货数量
Age (0 - 30),库龄1个月
Age (31 - 00),库龄2个月
Age (62 - 90),库龄3个月
Age (91 - Above),库龄3个月以上
121-Above,121天以上
No Outstanding Invoices found for this party,未找到待核销发票
No Unreconciled Payments found for this party,未找到待核销收付款凭证
New Journal Entry will be posted for the difference amount,会为差异金额生成日记账凭证
Payment Ledger,收付款台账
Include Account Currency,包括科目币种
Outstanding:,未结
Company Account,总账科目,
Ledger Merge,科目合并
Accounts to Merge,待合并科目
start Merge,开始合并
Merged,已合并
Scheduler is inactive. Cannot merge accounts.,后台任务进程未开启，无法合并科目
